tree	path	start_codepoint	end_codepoint	line	receiver	variant	role	disposition	declaration_path	declaration_line	enum	resolution	review	evidence	source_sha256
0f5b4f634bfefb7ad3e8e1494ce2995ae52df976	stdlib/http2/http2.xr	8976	9042	222	Http2Error	ProtocolError	constructor	ACCEPT	stdlib/http2/http2.xr	107	Http2Error	same-module	reviewed	payload declaration stdlib/http2/http2.xr:107	1b18044a53a7f48eee1b0f3cb7b3b7816a2c2cae0265b9785e07593b903a25e9
0f5b4f634bfefb7ad3e8e1494ce2995ae52df976	stdlib/http2/http2.xr	9153	9213	226	Http2Error	ProtocolError	constructor	ACCEPT	stdlib/http2/http2.xr	107	Http2Error	same-module	reviewed	payload declaration stdlib/http2/http2.xr:107	c50c16ecef50c8dd5b8c052d1575c743b0508f8f96f7d28b89ca073c390f3a52
0f5b4f634bfefb7ad3e8e1494ce2995ae52df976	stdlib/http2/http2.xr	9287	9352	229	Http2Error	ProtocolError	constructor	ACCEPT	stdlib/http2/http2.xr	107	Http2Error	same-module	reviewed	payload declaration stdlib/http2/http2.xr:107	417e79064a2b4198c5b562c35c5dd569de9c8cd99a174f058c6ddf6d195eef54
0f5b4f634bfefb7ad3e8e1494ce2995ae52df976	stdlib/http2/http2.xr	9473	9539	233	Http2Error	ProtocolError	constructor	ACCEPT	stdlib/http2/http2.xr	107	Http2Error	same-module	reviewed	payload declaration stdlib/http2/http2.xr:107	891fcfbf7ac0ba21650ff58806f898c7ae3ee013146668b0e57d8a28bbb1a200
0f5b4f634bfefb7ad3e8e1494ce2995ae52df976	stdlib/http2/http2.xr	33490	33561	835	Http2Error	FramingError	constructor	ACCEPT	stdlib/http2/http2.xr	112	Http2Error	same-module	reviewed	payload declaration stdlib/http2/http2.xr:112	0b6f08a6d568514349d36fbb075a45e7d26b717e3c35a92a9d68424faf2547aa
0f5b4f634bfefb7ad3e8e1494ce2995ae52df976	stdlib/http2/http2.xr	42411	42460	1085	Http2Error	ProtocolError	constructor	ACCEPT	stdlib/http2/http2.xr	107	Http2Error	same-module	reviewed	payload declaration stdlib/http2/http2.xr:107	54044408ab0cdef0750e06b202f774b44720ae2d5bc6faa5ddaef3ffbce11f1b
0f5b4f634bfefb7ad3e8e1494ce2995ae52df976	stdlib/http2/http2.xr	42601	42650	1091	Http2Error	ProtocolError	constructor	ACCEPT	stdlib/http2/http2.xr	107	Http2Error	same-module	reviewed	payload declaration stdlib/http2/http2.xr:107	54044408ab0cdef0750e06b202f774b44720ae2d5bc6faa5ddaef3ffbce11f1b
0f5b4f634bfefb7ad3e8e1494ce2995ae52df976	stdlib/http2/http2.xr	42753	42802	1096	Http2Error	ProtocolError	constructor	ACCEPT	stdlib/http2/http2.xr	107	Http2Error	same-module	reviewed	payload declaration stdlib/http2/http2.xr:107	54044408ab0cdef0750e06b202f774b44720ae2d5bc6faa5ddaef3ffbce11f1b
0f5b4f634bfefb7ad3e8e1494ce2995ae52df976	stdlib/http2/http2.xr	43406	43459	1115	Http2Error	ProtocolError	constructor	ACCEPT	stdlib/http2/http2.xr	107	Http2Error	same-module	reviewed	payload declaration stdlib/http2/http2.xr:107	0e3d17bb2ee1d22a61e153ece489c13eab03d1a4accde3930f0839e916228aa4
0f5b4f634bfefb7ad3e8e1494ce2995ae52df976	stdlib/http2/http2.xr	43569	43634	1119	Http2Error	ProtocolError	constructor	ACCEPT	stdlib/http2/http2.xr	107	Http2Error	same-module	reviewed	payload declaration stdlib/http2/http2.xr:107	77c6f4c9af1c7f0dbd90558577bf090735e369b3ae65923945faa2bdc5074850
